"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\operation\presentation\cubit\create_operation_state.dart", "Dart", 14, 0, 8, 22
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\operation\presentation\cubit\get_all_operations_cubit.dart", "Dart", 20, 0, 4, 24
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\operation\presentation\cubit\get_all_operations_state.dart", "Dart", 14, 0, 8, 22
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\operation\presentation\cubit\send_records_cubit.dart", "Dart", 45, 4, 6, 55
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\operation\presentation\cubit\send_records_state.dart", "Dart", 13, 2, 8, 23
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\operation\presentation\sensor_data_page.dart", "Dart", 258, 2, 8, 268
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\operation\presentation\widgets\operation_widget.dart", "Dart", 149, 0, 6, 155
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\operation\sensor.dart", "Dart", 41, 3, 9, 53
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\operation\sensor_model.dart", "Dart", 48, 2, 4, 54
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\product\data\product_datasource.dart", "Dart", 19, 0, 2, 21
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\product\data\product_model.dart", "Dart", 60, 3, 8, 71
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\product\data\product_repositories.dart", "Dart", 11, 0, 3, 14
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\product\presentation\cubit\product_cubit.dart", "Dart", 19, 0, 2, 21
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\product\presentation\cubit\product_state.dart", "Dart", 14, 0, 8, 22
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\product\presentation\product_page.dart", "Dart", 114, 56, 4, 174
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\qrcode\presentation\qr_view_page.dart", "Dart", 135, 5, 11, 151
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\qrcode\presentation\qrcode_page.dart", "Dart", 100, 0, 4, 104
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\shop\data\shop_datasource.dart", "Dart", 12, 0, 2, 14
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\shop\data\shop_model.dart", "Dart", 35, 3, 8, 46
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\shop\data\shop_repositories.dart", "Dart", 11, 0, 2, 13
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\shop\presentation\cubit\shop_cubit.dart", "Dart", 19, 0, 2, 21
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\shop\presentation\cubit\shop_state.dart", "Dart", 14, 0, 9, 23
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\shop\presentation\shop_page.dart", "Dart", 93, 0, 2, 95
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\transport\presentation\add_new_package_page.dart", "Dart", 170, 0, 5, 175
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\transport\presentation\link_device_page.dart", "Dart", 44, 0, 2, 46
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\transport\presentation\package_specifications_page.dart", "Dart", 246, 18, 4, 268
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\transport\presentation\text_input_dialog_widget.dart", "Dart", 74, 0, 3, 77
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\transport\presentation\transport_page.dart", "Dart", 213, 10, 7, 230
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\transport\services\transport_page_service.dart", "Dart", 29, 1, 9, 39
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\warehouse\presentation\warehouse_page.dart", "Dart", 220, 10, 7, 237
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\warehouse\services\warehouse_page_service.dart", "Dart", 31, 1, 9, 41
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\welcome\services\welcome_service.dart", "Dart", 10, 0, 5, 15
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\welcome\welcome_page.dart", "Dart", 91, 1, 6, 98
"c:\Users\Adnan\Storage_guard\storage_guard\lib\features\welcome\widgets\app_sections_row.dart", "Dart", 28, 0, 2, 30
"c:\Users\Adnan\Storage_guard\storage_guard\lib\main.dart", "Dart", 6, 0, 1, 7
"c:\Users\Adnan\Storage_guard\storage_guard\lib\main_page.dart", "Dart", 81, 3, 5, 89
"Total", "-", 4933, 188, 434, 5555
